#Supplementary Table 2 Summary of protein targets measured using the Olink Explore HT platform,,,,,,,,,,,,,,,,,,,,,,,,,,,
#sd - standard deviation; cv - coefficient of variation; p.dip - p-value of a dip test for multi-modal distribution: cis.pQTL - whehter or not a cis-pQTL was identified; med.pred = median (and 25th and 75th percentil) value of predicted correlation coefficient across all protein groups measued; Seer ID - best correlating Seer protein group; spear.seer = associated Spearman correlation coefficient; SomaLogic ID = best correlating aptamer ID; spear.soma = associated Spearman correlation coefficient
#
Olink ID,OlinkID_vendor,Assay,UniProt,Block,missing.per.olink,below.lod.per.olink,cv.olink,mean.cv.olink,sd.cv.olink,n.olink,mean.l2.olink,sd.l2.olink,median.l2.olink,min.l2.olink,max.l2.olink,faction.outlier.olink,p.dip.olink,cis.pQTL.olink,cis.pav.olink,med.pred,p25.pred,p75.pred,Seer ID,spear.seer,SomaLogic ID,spear.soma,correlation.cluster
ADA2_45301,OID45301,ADA2,Q9NZK5,7,0.07,0.00,17.30,-0.43,0.29,22.00,0.40,0.55,0.36,-2.03,2.64,0.00,1.00,FALSE,FALSE,0.57,0.56,0.58,prot.5820,0.54,seq.6077.63,0.60,
ADAM12_42089,OID42089,ADAM12,O43184,3,0.00,59.22,40.13,0.07,0.64,22.00,0.81,1.02,0.82,-5.45,9.07,0.01,0.78,FALSE,FALSE,0.13,0.13,0.14,prot.1212,0.14,seq.4420.7,-0.01,
ADAM15_43327,OID43327,ADAM15,Q13444,4,0.00,14.41,11.37,0.00,0.17,22.00,0.19,0.36,0.18,-1.05,2.56,0.00,0.99,TRUE,TRUE,0.26,0.26,0.26,prot.3421,0.16,seq.15455.40,0.06,
ADAM22_43328,OID43328,ADAM22,Q9P0K1,4,0.00,10.65,20.93,-0.03,0.31,22.00,0.47,0.44,0.47,-1.19,2.52,0.00,1.00,TRUE,TRUE,0.32,0.31,0.33,prot.6873,-0.06,seq.7933.75,0.30,
ADAM23_43329,OID43329,ADAM23,O75077,4,0.00,0.00,10.68,0.16,0.15,22.00,0.72,0.39,0.73,-2.11,2.05,0.01,0.99,TRUE,FALSE,0.46,0.45,0.47,,,seq.7049.2,0.48,
ADAM8_44439,OID44439,ADAM8,P78325,5,0.07,9.75,12.12,0.65,0.18,22.00,1.04,0.34,1.04,-2.45,2.29,0.00,0.99,TRUE,TRUE,0.39,0.37,0.39,prot.7884,0.02,seq.21440.9,0.20,
ADAM9_43330,OID43330,ADAM9,Q13443,4,0.00,47.11,18.32,0.12,0.27,22.00,0.43,0.37,0.43,-0.77,2.92,0.00,0.99,TRUE,TRUE,0.17,0.16,0.18,prot.3420,-0.02,seq.3795.6,0.04,
ADAMTS13_45023,OID45023,ADAMTS13,Q76LX8,6,1.11,1.97,8.66,0.45,0.12,21.00,0.61,0.25,0.62,-0.72,1.58,0.00,0.96,FALSE,FALSE,0.55,0.54,0.55,prot.4127,0.48,seq.3175.51,0.51,
ADAMTS15_43332,OID43332,ADAMTS15,Q8TE58,4,0.00,0.00,12.10,3.51,0.18,22.00,3.76,0.48,3.77,2.05,5.59,0.00,0.98,FALSE,FALSE,0.38,0.37,0.40,prot.4618,0.20,seq.4533.76,-0.09,
ADAMTS1_43331,OID43331,ADAMTS1,Q9UHI8,4,0.00,30.97,14.12,0.86,0.20,22.00,0.61,0.50,0.58,-0.83,6.16,0.01,1.00,FALSE,FALSE,0.24,0.23,0.25,prot.386,0.11,seq.3174.2,-0.01,
ADAMTS4_42090,OID42090,ADAMTS4,O75173,3,0.00,82.53,59.19,0.33,1.73,22.00,0.72,1.37,0.88,-6.92,4.26,0.02,1.00,FALSE,FALSE,0.08,0.07,0.08,,,seq.2809.25,0.03,
ADAMTS8_44440,OID44440,ADAMTS8,Q9UP79,5,0.07,0.00,22.28,1.42,0.43,22.00,0.54,0.56,0.57,-1.68,2.08,0.00,0.99,TRUE,FALSE,0.57,0.56,0.57,prot.6074,0.44,seq.34255.32,0.68,
ADAMTSL2_45024,OID45024,ADAMTSL2,Q86TH1,6,1.11,7.25,12.22,-0.10,0.18,21.00,0.27,0.40,0.25,-1.71,1.83,0.00,0.99,FALSE,FALSE,0.61,0.60,0.63,,,seq.6379.62,0.78,
ADAMTSL4_43333,OID43333,ADAMTSL4,Q6UY14,4,0.00,0.00,8.74,1.44,0.13,22.00,1.61,0.39,1.60,-0.02,3.36,0.00,1.00,TRUE,TRUE,0.42,0.42,0.43,prot.4071,0.43,,,
ADAMTSL5_44441,OID44441,ADAMTSL5,Q6ZMM2,5,0.07,24.79,12.57,1.06,0.18,22.00,0.81,0.49,0.84,-7.30,2.81,0.00,0.99,TRUE,FALSE,0.35,0.35,0.37,,,seq.30713.118,0.12,
ADA_43326,OID43326,ADA,P00813,4,0.00,23.17,9.77,0.57,0.14,22.00,0.43,0.38,0.42,-1.07,2.25,0.00,0.99,TRUE,TRUE,0.37,0.36,0.37,prot.1639,0.29,seq.19751.21,0.02,
ADCY3_40765,OID40765,ADCY3,O60266,2,0.14,81.81,106.47,-0.94,2.28,22.00,-0.10,1.85,0.15,-6.75,8.59,0.00,0.19,FALSE,FALSE,0.03,0.03,0.03,prot.93,0.03,,,
ADCY5_40766,OID40766,ADCY5,O95622,2,0.14,79.44,37.48,0.22,0.55,22.00,0.03,1.37,-0.12,-6.59,8.85,0.00,0.98,FALSE,FALSE,0.04,0.04,0.04,,,,,
